symbol,updateTime,currentFvg_type,currentFvg_high,currentFvg_low,currentFvg_mid,currentFvg_openType,currentFvg_closeType,currentFvg_timestamp,currentFvg_time,upFvg_type,upFvg_high,upFvg_low,upFvg_mid,upFvg_openType,upFvg_closeType,upFvg_timestamp,upFvg_time,downFvg_type,downFvg_high,downFvg_low,downFvg_mid,downFvg_openType,downFvg_closeType,downFvg_timestamp,downFvg_time,currentPrice
LAYERUSDT,18/06/2025 08:06:21,up,0.6852,0.6363,0.66075,up,down,1740009600000,20.02.2025 00:00,,,,,,,,,up,0.6832,0.6817,0.68245,down,up,1740355200000,24.02.2025 00:00,0.6366
AIXBTUSDT,18/06/2025 08:06:21,down,0.15577,0.13859,0.14717999999999998,down,down,1741219200000,06.03.2025 00:00,up,0.13132,0.12389,0.127605,up,down,1745625600000,26.04.2025 00:00,up,0.16458,0.15604,0.16031,down,up,1745971200000,30.04.2025 00:00,0.15243
HIPPOUSDT,18/06/2025 08:06:21,up,0.001795,0.001778,0.0017865,up,down,1750032000000,16.06.2025 00:00,up,0.001778,0.001754,0.001766,down,up,1749945600000,15.06.2025 00:00,down,0.001907,0.001753,0.00183,down,up,1749686400000,12.06.2025 00:00,0.001787
CHILLGUYUSDT,18/06/2025 08:06:21,up,0.04872,0.04556,0.04714,up,down,1746144000000,02.05.2025 00:00,up,0.04555,0.03805,0.041800000000000004,down,up,1746057600000,01.05.2025 00:00,up,0.05182,0.05133,0.051574999999999996,down,down,1749945600000,15.06.2025 00:00,0.04764
GRASSUSDT,18/06/2025 08:06:21,up,1.51,1.432,1.471,down,up,1746489600000,06.05.2025 00:00,down,1.3775,1.3746,1.37605,down,down,1742169600000,17.03.2025 00:00,down,1.4861,1.432,1.45905,down,down,1746316800000,04.05.2025 00:00,1.4448
AI16ZUSDT,18/06/2025 08:06:21,up,0.177,0.1448,0.1609,down,up,1745280000000,22.04.2025 00:00,down,0.1577,0.1429,0.1503,down,down,1743724800000,04.04.2025 00:00,up,0.1784,0.1741,0.17625000000000002,down,up,1749945600000,15.06.2025 00:00,0.1657
DEGENUSDT,18/06/2025 08:06:21,up,0.003874,0.003465,0.0036695,up,up,1746748800000,09.05.2025 00:00,down,0.003467,0.003441,0.003454,up,up,1742947200000,26.03.2025 00:00,down,0.003698,0.003539,0.0036185,down,down,1741392000000,08.03.2025 00:00,0.00359
ATHUSDT,18/06/2025 08:06:21,up,0.0352,0.03181,0.033505,up,up,1746662400000,08.05.2025 00:00,up,0.0318,0.03112,0.03146,down,up,1746576000000,07.05.2025 00:00,down,0.03847,0.03642,0.037445,down,down,1750032000000,16.06.2025 00:00,0.03473
ATOMUSDT,18/06/2025 08:06:21,up,4.107,4.018,4.0625,up,up,1744848000000,17.04.2025 00:00,down,4.103,3.803,3.953,down,down,1741478400000,09.03.2025 00:00,down,4.131,4.018,4.0745000000000005,down,up,1744675200000,15.04.2025 00:00,4.053
JUPUSDT,18/06/2025 08:06:21,up,0.4041,0.3963,0.4002,down,up,1745193600000,21.04.2025 00:00,up,0.3927,0.373,0.38285,up,down,1745020800000,19.04.2025 00:00,down,0.4252,0.4165,0.42085,down,down,1749772800000,13.06.2025 00:00,0.4026
